"cast_id","gender","id","name","order","movie_id","title","genres","budget","revenue","vote_count","vote_average","popularity","runtime","release_date","genre_order"
"14","Male","31","Tom Hanks",0,862,"Toy Story","Animation",3e+07,373554033,5415,7.7,21.946943,81,1995-10-30,1
"1","Male","2157","Robin Williams",0,8844,"Jumanji","Adventure",6.5e+07,262797249,2413,6.9,17.015539,104,1995-12-15,1
"2","Male","6837","Walter Matthau",0,15602,"Grumpier Old Men","Comedy",0,0,92,6.5,11.7129,101,1995-12-22,1
"1","Female","8851","Whitney Houston",0,31357,"Waiting to Exhale","Comedy",1.6e+07,81452156,34,6.1,3.859495,127,1995-12-22,1
"1","Male","67773","Steve Martin",0,11862,"Father of the Bride Part II","Comedy",0,76578911,173,5.7,8.387519,106,1995-02-10,1
"25","Male","1158","Al Pacino",0,949,"Heat","Action",6e+07,187436818,1886,7.7,17.924927,170,1995-12-15,1
"1","Male","3","Harrison Ford",0,11860,"Sabrina","Comedy",5.8e+07,0,141,6.2,6.677277,127,1995-12-15,1
"2","Male","53283","Jonathan Taylor Thomas",0,45325,"Tom and Huck","Action",0,0,45,5.4,2.561161,97,1995-12-22,1
"1","Male","15111","Jean-Claude Van Damme",0,9091,"Sudden Death","Action",3.5e+07,64350171,174,5.5,5.23158,106,1995-12-22,1
"1","Male","517","Pierce Brosnan",0,710,"GoldenEye","Action",5.8e+07,352194034,1194,6.6,14.686036,130,1995-11-16,1
"1","Male","3392","Michael Douglas",0,9087,"The American President","Comedy",6.2e+07,107879496,199,6.5,6.318445,106,1995-11-17,1
"9","Male","7633","Leslie Nielsen",0,12110,"Dracula: Dead and Loving It","Comedy",0,0,210,5.7,5.430331,88,1995-12-22,1
"1","Male","4724","Kevin Bacon",0,21032,"Balto","Adventure",0,11348324,423,7.1,12.140733,78,1995-12-22,1
"1","Male","4173","Anthony Hopkins",0,10858,"Nixon","Drama",4.4e+07,13681765,72,7.1,5.092,192,1995-12-22,1
"1","Female","16935","Geena Davis",0,1408,"Cutthroat Island","Action",9.8e+07,10017322,137,5.7,7.284477,119,1995-12-22,1
"4","Male","380","Robert De Niro",0,524,"Casino","Crime",5.2e+07,116112375,1343,7.8,10.137389,178,1995-11-22,1
"6","Female","204","Kate Winslet",0,4584,"Sense and Sensibility","Drama",16500000,1.35e+08,364,7.2,10.673167,136,1995-12-13,1
"42","Male","3129","Tim Roth",0,5,"Four Rooms","Comedy",4e+06,4300000,539,6.5,9.026586,98,1995-12-09,1
"1","Male","206","Jim Carrey",0,9273,"Ace Ventura: When Nature Calls","Adventure",3e+07,212385533,1128,6.1,8.205448,90,1995-11-10,1
"1","Male","10814","Wesley Snipes",0,11517,"Money Train","Action",6e+07,35431113,224,5.4,7.337906,103,1995-11-21,1
"1","Male","8891","John Travolta",0,8012,"Get Shorty","Comedy",30250000,115101622,305,6.4,12.669608,105,1995-10-20,1
"8","Female","10205","Sigourney Weaver",0,1710,"Copycat","Drama",0,0,199,6.5,10.701801,124,1995-10-27,1
"1","Male","16483","Sylvester Stallone",0,9691,"Assassins","Action",5e+07,30303072,394,6,11.065939,132,1995-10-06,1
"1","Female","2453","Mary Steenburgen",0,12665,"Powder","Drama",0,0,143,6.3,12.133094,111,1995-10-27,1
"1","Male","2963","Nicolas Cage",0,451,"Leaving Las Vegas","Drama",3600000,49800000,365,7.1,10.332025,112,1995-10-27,1
"2","Male","2975","Laurence Fishburne",0,16420,"Othello","Drama",0,0,33,7,1.845899,123,1995-12-15,1
"9","Female","6886","Christina Ricci",0,9263,"Now and Then","Comedy",1.2e+07,27400000,91,6.6,8.681325,100,1995-10-20,1
"1","Female","30318","Amanda Root",0,17015,"Persuasion","Drama",0,0,36,7.4,2.228434,104,1995-09-27,1
"24","Male","2372","Ron Perlman",0,902,"The City of Lost Children","Adventure",1.8e+07,1738611,308,7.6,9.822423,108,1995-05-16,1
"2","Female","643","Gong Li",0,37557,"Shanghai Triad","Crime",0,0,17,6.5,1.100915,108,1995-04-30,1
"13","Female","1160","Michelle Pfeiffer",0,9909,"Dangerous Minds","Crime",0,1.8e+08,249,6.4,9.481338,99,1995-08-11,1
"41","Male","62","Bruce Willis",0,63,"Twelve Monkeys","Fiction",29500000,168840000,2470,7.4,12.297305,129,1995-12-29,1
"2","Male","4138","Craig Sheffer",0,78802,"Wings of Courage","Adventure",0,0,4,6.8,0.745542,50,1996-09-18,1
"1","Female","58136","Christine Cavanaugh",0,9598,"Babe","Comedy",3e+07,254134910,756,6,14.404764,89,1995-07-18,1
"1","Female","7056","Emma Thompson",0,47018,"Carrington","Drama",0,0,16,6.4,1.493361,121,1995-11-08,1
"7","Female","4038","Susan Sarandon",0,687,"Dead Man Walking","Drama",1.1e+07,39363635,350,7.3,6.891317,122,1995-12-29,1
"1","Female","1796","Kirstie Alley",0,33689,"It Takes Two","Comedy",0,0,149,6.1,7.777735,101,1995-11-17,1
"1","Male","1327","Ian McKellen",0,31174,"Richard III","Drama",0,0,50,6.9,4.561387,104,1995-12-29,1
"1","Male","18291","Larenz Tate",0,11443,"Dead Presidents","Action",1e+07,0,80,6.6,9.87957,119,1995-10-06,1
"1","Male","3223","Robert Downey Jr.",0,35196,"Restoration","Drama",1.9e+07,0,30,6.3,10.979269,117,1995-12-29,1
"1","Male","38559","Christopher Lambert",0,9312,"Mortal Kombat","Action",1.8e+07,122195920,452,5.4,10.870138,101,1995-08-18,1
"4","Female","2227","Nicole Kidman",0,577,"To Die For","Comedy",2e+07,21284514,177,6.7,10.448481,106,1995-05-20,1
"1","Female","1920","Winona Ryder",0,11861,"How To Make An American Quilt","Drama",1e+07,23574130,38,6.5,4.485958,116,1995-10-06,1
"17","Male","287","Brad Pitt",0,807,"Se7en","Crime",3.3e+07,327311859,5915,8.1,18.45743,127,1995-09-22,1
"1","Female","65529","Irene Bedard",0,10530,"Pocahontas","Adventure",5.5e+07,346079773,1509,6.7,13.280069,81,1995-06-14,1
"19","Male","9045","Stephen Baldwin",0,629,"The Usual Suspects","Crime",6e+06,23341568,3334,8.1,16.302466,106,1995-07-19,1
"1","Female","74375","Cynthia Rothrock",0,117164,"Guardian Angel","Action",0,0,3,6.3,0.595949,93,1994-11-22,1
"1","Male","1243","Woody Allen",0,11448,"Mighty Aphrodite","Comedy",1.5e+07,6700000,145,6.7,15.899134,95,1995-09-13,1
"2","Male","27392","Enrico Lo Verso",0,49133,"Lamerica","Drama",0,0,11,7.7,1.361286,116,1994-01-01,1
"1","Male","26472","Steve Guttenberg",0,26441,"The Big Green","Action",0,0,41,5.2,5.982764,100,1995-09-29,1
"2","Female","10431","Jennifer Jason Leigh",0,97406,"Georgia","Drama",0,0,15,6.1,4.093443,115,1995-05-19,1
"10","Female","18686","Holly Hunter",0,9089,"Home for the Holidays","Comedy",0,17519169,39,6.3,8.416802,103,1995-11-02,1
"11","Male","24366","Philippe Noiret",0,11010,"The Postman","Comedy",0,0,181,7.6,10.168437,108,1994-09-22,1
"3","Male","38524","Lothaire Bluteau",0,99040,"The Confessional","Drama",0,0,2,6.5,0.120789,100,1995-09-29,1
"1","Male","69301","Hal Scardino",0,11359,"The Indian in the Cupboard","Adventure",4.5e+07,0,136,5.9,10.673296,96,1995-07-14,1
"1","Female","35","Sally Field",0,17182,"Eye for an Eye","Drama",2e+07,0,65,5.8,4.733526,101,1996-01-12,1
"10","Male","3037","Richard Dreyfuss",0,2054,"Mr. Holland's Opus","Drama",0,106269971,115,6.9,7.137117,137,1995-12-29,1
"18","Male","35690","Shawn Wayans",0,10607,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood","Comedy",0,0,192,6.2,11.700115,89,1996-01-12,1
"1","Female","18277","Sandra Bullock",0,19760,"Two If by Sea","Comedy",0,0,14,4.5,2.174487,96,1996-01-12,1
"14","Male","64998","Pauly Shore",0,9536,"Bio-Dome","Comedy",1.5e+07,0,110,4.4,6.387469,88,1996-01-12,1
"1","Male","29459","Patrick Bergin",0,11525,"Lawnmower Man 2: Beyond Cyberspace","Action",0,2409225,32,2.8,2.49535,92,1996-01-12,1
"4","Female","25256","Victoria Abril",0,4482,"French Twist","Comedy",0,0,43,6,2.518051,95,1995-02-08,1
"1","Male","9778","Ice Cube",0,10634,"Friday","Comedy",3500000,28215918,513,7,14.56965,91,1995-04-26,1
"1","Male","1461","George Clooney",0,755,"From Dusk Till Dawn","Action",1.9e+07,25836616,1644,6.9,15.339153,108,1996-01-19,1
"1","Male","13021","William Baldwin",0,11859,"Fair Game","Action",5e+07,11534477,54,4.1,5.912223,91,1995-11-03,1
"1","Male","52419","Josh Hamilton",0,28387,"Kicking and Screaming","Comedy",0,718490,36,7,3.367276,96,1995-10-06,1
"4","Male","3829","Jean-Paul Belmondo",0,48750,"Les Miserables","Drama",0,0,8,6.6,1.479446,175,1995-03-22,1
