"title","total_prop_men","total_prop_women","index","year","imdb","test","clean_test","binary","budget.x","domgross","intgross","code","budget2013","domgross2013","intgross2013","period code","decade","cast_id","gender","id","name","order","movie_id","genres","budget.y","revenue","vote_count","vote_average","popularity","runtime","release_date","genre_order"
"(500) Days of Summer",0.6898378378,0.3101621622,438,2009,"tt1022603","notalk-disagree","notalk","FAIL",7500000,32391374,60803210,"2009FAIL",8142987,35168338,66015966,2,2,4,"Male",24045,"Joseph Gordon-Levitt",0,19913,"Comedy",7500000,60722734,2993,7.2,16.376657,95,2009-07-17,1
"10 Things I Hate About You",0.5430894309,0.4569105691,1278,1999,"tt0147800","ok","ok","PASS",1.3e+07,38177966,60414025,"1999PASS",18180006,53390436,84486720,4,3,2,"Male",1810,"Heath Ledger",0,4951,"Comedy",1.6e+07,53478166,1768,7.3,12.069966,97,1999-03-30,1
"12 Years a Slave",0.8241287956,0.1758712045,2,2013,"tt2024544","notalk-disagree","notalk","FAIL",2e+07,53107035,158607035,"2013FAIL",2e+07,53107035,158607035,1,1,6,"Male",5294,"Chiwetel Ejiofor",0,76203,"Drama",2e+07,1.87e+08,3787,7.9,30.316249,134,2013-10-18,1
"127 Hours",0.8427599611,0.1572400389,309,2010,"tt1542344","dubious-disagree","dubious","FAIL",1.8e+07,18335230,60735230,"2010FAIL",19228173,19586277,64879307,1,1,2,"Male",17051,"James Franco",0,44115,"Adventure",1.8e+07,35692920,2668,7,11.176797,94,2010-11-05,1
"1408",0.9145350587,0.0854649413,664,2007,"tt0450385","ok","ok","PASS",22500000,71985628,131263370,"2007PASS",25279728,80878983,147480104,2,2,19,"Male",3036,"John Cusack",0,3021,"Horror",2.5e+07,94679598,1372,6.5,9.196884,104,2007-07-12,1
"17 Again",0.771246544,0.228753456,439,2009,"tt0974661","ok-disagree","ok","PASS",4e+07,64167069,139474906,"2009PASS",43429264,69668214,151432312,2,2,1,"Male",29222,"Zac Efron",0,16996,"Comedy",2e+07,136267476,1388,6.1,11.362762,102,2009-03-11,1
"2 Guns",0.9404433548,0.0595566452,3,2013,"tt1272878","notalk","notalk","FAIL",6.1e+07,75612460,132493015,"2013FAIL",6.1e+07,75612460,132493015,1,1,10,"Male",5292,"Denzel Washington",0,136400,"Action",6.1e+07,131940411,1611,6.6,13.336512,109,2013-08-02,1
"2012",0.8188764682,0.1811235319,440,2009,"tt1190080","notalk-disagree","notalk","FAIL",2e+08,166112167,788408539,"2009FAIL",217146319,180353228,856000062,2,2,1,"Male",3036,"John Cusack",0,14161,"Action",2e+08,769653595,4994,5.6,16.698628,158,2009-10-10,1
"21",0.9254582485,0.0745417515,562,2008,"tt0478087","ok","ok","PASS",3.5e+07,81159365,157852532,"2008PASS",37878971,87835235,170836899,2,2,1,"Male",38941,"Jim Sturgess",0,8065,"Crime",3.5e+07,69823199,1406,6.5,8.33756,123,2008-03-27,1
"25th Hour",0.8940979077,0.1059020923,1071,2002,"tt0307901","men","men","FAIL",4500000,13084595,25344490,"2002FAIL",5828306,16946895,32825657,3,2,1,"Male",819,"Edward Norton",0,1429,"Crime",1.5e+07,13060843,640,7.2,10.271871,135,2002-12-16,1
"28 Days",0.2907653911,0.709234609,1215,2000,"tt0191754","ok","ok","PASS",4.3e+07,37035515,62063972,"2000PASS",58175060,50105659,83966868,3,2,3,"Female",18277,"Sandra Bullock",0,10468,"Comedy",4.3e+07,0,210,6,4.756669,103,2000-04-06,1
"28 Days Later...",0.7173206155,0.2826793844,1072,2002,"tt0289043","ok","ok","PASS",8e+06,45064915,82955633,"2002PASS",10361434,58367141,107442412,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28 Weeks Later",0.6723472669,0.3276527331,665,2007,"tt0463854","ok","ok","PASS",1.5e+07,28638916,64232714,"2007PASS",16853152,32177067,72168247,2,2,17,"Female",17606,"Imogen Poots",0,1562,"Fiction",1.5e+07,64238440,1225,6.5,12.884191,100,2007-04-26,1
"30 Days of Night",0.7083758938,0.2916241063,667,2007,"tt0389722","men","men","FAIL",3e+07,39568996,80276156,"2007FAIL",33706305,44457488,90193752,2,2,4,"Male",2299,"Josh Hartnett",0,4513,"Horror",3e+07,75505973,784,6.2,8.764548,113,2007-10-17,1
"30 Minutes or Less",0.9530102788,0.046989721,185,2011,"tt1622547","notalk","notalk","FAIL",2.8e+07,37053924,40966716,"2011FAIL",28999342,38376408,42428850,1,1,3,"Male",44735,"Jesse Eisenberg",0,62206,"Action",2.8e+07,40547440,537,5.6,9.763493,83,2011-08-11,1
"300",0.8972070256,0.1027929744,736,2006,"tt0416449","nowomen-disagree","nowomen","FAIL",6e+07,210614939,454161935,"2006FAIL",69347781,243427977,524918705,2,2,2,"Male",17276,"Gerard Butler",0,1271,"Action",6.5e+07,422610419,5092,7,18.108408,117,2006-12-09,1
"3:10 to Yuma",0.975188227,0.0248117728,666,2007,"tt0381849","nowomen","nowomen","FAIL",4.8e+07,53606916,71171825,"2007FAIL",53930087,60229701,79964640,2,2,7,"Male",3381,"Glenn Ford",0,14168,"Drama",0,0,77,7.1,15.931069,92,1957-08-07,1
"42",0.8930637562,0.1069362438,4,2013,"tt0453562","men","men","FAIL",4e+07,95020213,95020213,"2013FAIL",4e+07,95020213,95020213,1,1,19,"Male",172069,"Chadwick Boseman",0,109410,"Drama",4e+07,95020213,795,6.8,11.637224,128,2013-04-12,1
"50/50",0.7177357526,0.2822642474,186,2011,"tt1306980","men-disagree","men","FAIL",8e+06,35016118,41334735,"2011FAIL",8285526,36265871,42810004,1,1,3,"Male",24045,"Joseph Gordon-Levitt",0,40807,"Comedy",8e+06,39187783,1287,7,11.869481,100,2011-09-30,1
"8MM",0.7841817827,0.2158182173,1279,1999,"tt0134273","notalk","notalk","FAIL",4e+07,36443442,96398826,"1999FAIL",55938481,50964770,134810098,4,3,3,"Male",2963,"Nicolas Cage",0,8224,"Crime",4e+07,96618699,479,6.1,7.473718,123,1999-02-26,1
"A Beautiful Mind",0.8126017787,0.1873982212,1151,2001,"tt0268978","notalk","notalk","FAIL",7.8e+07,170708996,317668058,"2001FAIL",102635985,224626742,418002230,3,2,4,"Male",934,"Russell Crowe",0,453,"Drama",6e+07,313542341,3087,7.7,11.93646,135,2001-12-11,1
"A Few Good Men",0.8617317776,0.1382682224,1567,1992,"tt0104257","notalk","notalk","FAIL",3.3e+07,141340178,236500000,"1992FAIL",54791459,234673774,392672121,5,3,10,"Male",500,"Tom Cruise",0,881,"Drama",4e+07,243240178,899,7.1,12.330249,138,1992-12-11,1
"A Perfect Getaway",0.7714473901,0.2285526099,442,2009,"tt0971209","dubious-disagree","dubious","FAIL",1.4e+07,15515460,22815460,"2009FAIL",15200242,16845625,24771466,2,2,1,"Female",63,"Milla Jovovich",0,12403,"Adventure",1.4e+07,22852638,355,6.2,11.017008,98,2009-06-08,1
"A Scanner Darkly",0.8148716637,0.1851283363,737,2006,"tt0405296","notalk","notalk","FAIL",2e+07,5501616,7405084,"2006FAIL",23115927,6358748,8558769,2,2,1,"Male",6384,"Keanu Reeves",0,3509,"Animation",8700000,7659918,540,6.8,11.643026,100,2006-05-25,1
"A Serious Man",0.9040868312,0.0959131687,443,2009,"tt1019452","men","men","FAIL",7e+06,9228788,30360570,"2009FAIL",7600121,10019987,32963430,2,2,1,"Male",72873,"Michael Stuhlbarg",0,12573,"Comedy",7e+06,31430334,492,6.6,7.971424,105,2009-10-02,1
"A Single Man",0.8231717615,0.1768282384,444,2009,"tt1315981","notalk","notalk","FAIL",7e+06,9176000,28142379,"2009FAIL",7600121,9962673,30555070,2,2,4,"Male",5472,"Colin Firth",0,34653,"Drama",7e+06,0,475,7.3,10.952545,101,2009-10-19,1
"Ace Ventura: Pet Detective",0.7403747553,0.2596252447,1525,1994,"tt0109040","men","men","FAIL",1.2e+07,72217396,107217396,"1994FAIL",18859976,113501532,168509796,5,3,3,"Male",206,"Jim Carrey",0,3049,"Comedy",1.5e+07,107217396,1684,6.4,11.247957,86,1994-02-04,1
