"title","total_prop_men","total_prop_women","credit_id","department","gender","id","job","name","movie_id","genres","budget","revenue","vote_count","vote_average","popularity","runtime","release_date","genre_order"
"(500) Days of Summer",0.6898378378,0.3101621622,"52fe47f99251416c750abaa5","Sound","Male",5359,"Original Music Composer","Mychael Danna",19913,"Comedy",7500000,60722734,2993,7.2,16.376657,95,2009-07-17,1
"(500) Days of Summer",0.6898378378,0.3101621622,"5685cf869251417e1500495c","Costume & Make-Up","Female",16469,"Costume Design","Hope Hanafin",19913,"Comedy",7500000,60722734,2993,7.2,16.376657,95,2009-07-17,1
"(500) Days of Summer",0.6898378378,0.3101621622,"52fe47f99251416c750aba9f","Production","Male",22433,"Producer","Steven J. Wolfe",19913,"Comedy",7500000,60722734,2993,7.2,16.376657,95,2009-07-17,1
"(500) Days of Summer",0.6898378378,0.3101621622,"52fe47f99251416c750abab1","Camera","Male",52449,"Director of Photography","Eric Steelberg",19913,"Comedy",7500000,60722734,2993,7.2,16.376657,95,2009-07-17,1
"(500) Days of Summer",0.6898378378,0.3101621622,"5685d02cc3a3683628004bf5","Production","Female",53648,"Casting","Eyde Belasco",19913,"Comedy",7500000,60722734,2993,7.2,16.376657,95,2009-07-17,1
"(500) Days of Summer",0.6898378378,0.3101621622,"52fe47f99251416c750aba99","Production","Male",54050,"Producer","Mark Waters",19913,"Comedy",7500000,60722734,2993,7.2,16.376657,95,2009-07-17,1
"(500) Days of Summer",0.6898378378,0.3101621622,"52fe47f99251416c750abab7","Editing","Male",66519,"Editor","Alan Edward Bell",19913,"Comedy",7500000,60722734,2993,7.2,16.376657,95,2009-07-17,1
"(500) Days of Summer",0.6898378378,0.3101621622,"52fe47f89251416c750aba75","Writing","Male",77950,"Screenplay","Scott Neustadter",19913,"Comedy",7500000,60722734,2993,7.2,16.376657,95,2009-07-17,1
"(500) Days of Summer",0.6898378378,0.3101621622,"52fe47f89251416c750aba7b","Writing","Male",77951,"Screenplay","Michael H. Weber",19913,"Comedy",7500000,60722734,2993,7.2,16.376657,95,2009-07-17,1
"(500) Days of Summer",0.6898378378,0.3101621622,"52fe47f89251416c750aba57","Directing","Male",87742,"Director","Marc Webb",19913,"Comedy",7500000,60722734,2993,7.2,16.376657,95,2009-07-17,1
"(500) Days of Summer",0.6898378378,0.3101621622,"5685d0fc9251414ecb00e77d","Sound","Female",563736,"Music Supervisor","Andrea von Foerster",19913,"Comedy",7500000,60722734,2993,7.2,16.376657,95,2009-07-17,1
"(500) Days of Summer",0.6898378378,0.3101621622,"52fe47f99251416c750aba93","Production","Female",965987,"Producer","Jessica Tuchinsky",19913,"Comedy",7500000,60722734,2993,7.2,16.376657,95,2009-07-17,1
"(500) Days of Summer",0.6898378378,0.3101621622,"5685d095c3a3684bcc01e87d","Directing","Female",1344842,"Script Supervisor","Renetta G. Amador",19913,"Comedy",7500000,60722734,2993,7.2,16.376657,95,2009-07-17,1
"10 Things I Hate About You",0.5430894309,0.4569105691,"52fe43e6c3a36847f807731d","Art","Male",1800,"Set Decoration","Charles Graffeo",4951,"Comedy",1.6e+07,53478166,1768,7.3,12.069966,97,1999-03-30,1
"10 Things I Hate About You",0.5430894309,0.4569105691,"5727be19c3a3685bd90037a2","Writing","Male",6210,"Theatre Play","William Shakespeare",4951,"Comedy",1.6e+07,53478166,1768,7.3,12.069966,97,1999-03-30,1
"10 Things I Hate About You",0.5430894309,0.4569105691,"52fe43e6c3a36847f80772ff","Camera","Male",7413,"Director of Photography","Mark Irwin",4951,"Comedy",1.6e+07,53478166,1768,7.3,12.069966,97,1999-03-30,1
"10 Things I Hate About You",0.5430894309,0.4569105691,"52fe43e6c3a36847f8077305","Editing","Male",16593,"Editor","O. Nicholas Brown",4951,"Comedy",1.6e+07,53478166,1768,7.3,12.069966,97,1999-03-30,1
"10 Things I Hate About You",0.5430894309,0.4569105691,"52fe43e6c3a36847f8077317","Costume & Make-Up","Female",20359,"Costume Design","Kimberly A. Tillman",4951,"Comedy",1.6e+07,53478166,1768,7.3,12.069966,97,1999-03-30,1
"10 Things I Hate About You",0.5430894309,0.4569105691,"52fe43e6c3a36847f80772f9","Sound","Male",21068,"Original Music Composer","Richard Gibbs",4951,"Comedy",1.6e+07,53478166,1768,7.3,12.069966,97,1999-03-30,1
"10 Things I Hate About You",0.5430894309,0.4569105691,"52fe43e6c3a36847f80772e1","Production","Male",29525,"Producer","Andrew Lazar",4951,"Comedy",1.6e+07,53478166,1768,7.3,12.069966,97,1999-03-30,1
"10 Things I Hate About You",0.5430894309,0.4569105691,"52fe43e6c3a36847f807730b","Art","Female",32279,"Production Design","Carol Winstead Wood",4951,"Comedy",1.6e+07,53478166,1768,7.3,12.069966,97,1999-03-30,1
"10 Things I Hate About You",0.5430894309,0.4569105691,"52fe43e6c3a36847f80772c7","Directing","Male",40243,"Director","Gil Junger",4951,"Comedy",1.6e+07,53478166,1768,7.3,12.069966,97,1999-03-30,1
"10 Things I Hate About You",0.5430894309,0.4569105691,"55846e5ec3a3685030000fd7","Writing","Female",40589,"Writer","Karen McCullah Lutz",4951,"Comedy",1.6e+07,53478166,1768,7.3,12.069966,97,1999-03-30,1
"10 Things I Hate About You",0.5430894309,0.4569105691,"55846e6ec3a3685024000fa4","Writing","Female",40590,"Writer","Kirsten Smith",4951,"Comedy",1.6e+07,53478166,1768,7.3,12.069966,97,1999-03-30,1
